name,description,Level,School,Components,DamageType,CastingTime,Range,Save
Mordenkainen's Private Sanctum,"Level 4 Abjuration (Wizard) Casting Time: 10 minutes Range: 120 feet Components: V, S, M (a thin sheet of lead) Duration: 24 hours You make an area within range magically secure. The area is a Cube that can be as small as 5 feet to as large as 100 feet on each side. The spell lasts for the duration. When you cast the spell, you decide what sort of security the spell provides, choosing any of the following properties: Sound can’t pass through the barrier at the edge of the warded area. The barrier of the warded area appears dark and foggy, preventing vision (including Darkvision ) through it. Sensors created by Divination spells can’t appear inside the protected area or pass through the barrier at its perimeter. Creatures in the area can’t be targeted by Divination spells. Nothing can teleport into or out of the warded area. Planar travel is blocked within the warded area. Casting this spell on the same spot every day for 365 days makes the spell last until dispelled. Using a Higher-Level Spell Slot. You can increase the size of the Cube by 100 feet for each spell slot level above 4.",4,Abjuration,V S M,,10 minutes,120 ft (100 ft □),
Mordenkainen's Sword,"Level 7 Evocation (Bard, Wizard) Casting Time: Action Range: 90 feet Components: V, S, M (a miniature sword worth 250+ GP) Duration: Concentration, up to 1 minute You create a spectral sword that hovers within range. It lasts for the duration. When the sword appears, you make a melee spell attack against a target within 5 feet of the sword. On a hit, the target takes Force damage equal to 4d12 plus your spellcasting ability modifier . On your later turns, you can take a Bonus Action to move the sword up to 30 feet to a spot you can see and repeat the attack against the same target or a different one.",7,Evocation,V S M,Force,Action,,
Motivational Speech,"3rd-Level Enchantment Casting Time : 1 minute Rang e: 60 feet Components: V Duration : 1 hour You address allies, staff, or innocent bystanders to exhort and inspire them to greatness, whether they have anything to get excited about or not. Choose up to five creatures within range that can hear you. For the duration, each affected creature gains 5 temporary hit points and has advantage on Wisdom saving throws. If an affected creature is hit by an attack, it has advantage on the next attack roll it makes. Once an affected creature loses the temporary hit points granted by this spell, the spell ends for that creature. At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the temporary hit points increase by 5 for each slot level above 3rd.",3,Enchantment,V,,1 minute,60 feet,
Move Earth,"Level 6 Transmutation (Druid, Sorcerer, Wizard) Casting Time: Action Range: 120 feet Components: V, S, M (a miniature shovel) Duration: Concentration, up to 2 hours Choose an area of terrain no larger than 40 feet on a side within range. You can reshape dirt, sand, or clay in the area in any manner you choose for the duration. You can raise or lower the area’s elevation, create or fill in a trench, erect or flatten a wall, or form a pillar. The extent of any such changes can’t exceed half the area’s largest dimension. For example, if you affect a 40-foot square, you can create a pillar up to 20 feet high, raise or lower the square’s elevation by up to 20 feet, dig a trench up to 20 feet deep, and so on. It takes 10 minutes for these changes to complete. Because the terrain’s transformation occurs slowly, creatures in the area can’t usually be trapped or injured by the ground’s movement. At the end of every 10 minutes you spend concentrating on the spell, you can choose a new area of terrain to affect within range. This spell can’t manipulate natural stone or stone construction. Rocks and structures shift to accommodate the new terrain. If the way you shape the terrain would make a structure unstable, it might collapse. Similarly, this spell doesn’t directly affect plant growth. The moved earth carries any plants along with it.",6,Transmutation,V S M,,Action,120 ft (40 ft ○),
Nathair's Mischief,"2nd-Level Illusion Casting Time : 1 action Rang e: 60 feet Components: S, M (a piece of crust from an apple pie) Duration : Concentration, up to 1 minute You fill a 20-foot cube you can see within range with fey and draconic magic. Roll on the Mischievous Surge table to determine the magical effect produced, and roll again at the start of each of your turns until the spell ends. You can move the cube up to 10 feet before you roll. Mischievous Surge d4 Effect 1 The smell of apple pie fills the air, and each creature in the cube must succeed on a Wisdom saving throw or become charmed by you until the start of your next turn. 2 Bouquets of flowers appear all around, and each creature in the cube must succeed on a Dexterity saving throw or be blinded until the start of your next turn as the flowers spray water in their faces. 3 Each creature in the cube must succeed on a Wisdom saving throw or begin giggling until the start of your next turn. A giggling creature is incapacitated and uses all its movement to move in a random direction. 4 Drops of molasses hover in the cube, making it difficult terrain until the start of your next turn.",2,Illusion,"S, M",,1 action,60 feet,
Negative Energy Flood,"5th-Level Necromancy Casting Time : 1 action Rang e: 60 feet Components: V, S, M (A broken bone and a square of black silk) Duration : Instantaneous You send ribbons of negative energy at one creature you can see within range. Unless the target is undead, it must make a Constitution saving throw, taking 5d12 necrotic damage on a failed save, or half as much damage on a successful one. A target killed by this damage rises up as a zombie at the start of your next turn. The zombie pursues whatever creature it can see that is closest to it. Statistics for the zombie are in the Monster Manual . If you target an undead with this spell, the target doesn’t make a saving throw. Instead, roll 5d12. The target gains half the total as temporary hit points.",5,Necromancy,V M,Necrotic,1 action,60 feet,Constitution
Nondetection,"Level 3 Abjuration (Bard, Ranger, Wizard) Casting Time: Action Range: Touch Components: V, S, M (a pinch of diamond dust worth 25+ GP, which the spell consumes) Duration: 8 hours For the duration, you hide a target that you touch from Divination spells. The target can be a willing creature , or it can be a place or an object no larger than 10 feet in any dimension. The target can’t be targeted by any Divination spell or perceived through magical scrying sensors.",3,Abjuration,V S M,,Action,,
Nystul's Magic Aura,"Level 2 Illusion (Wizard) Casting Time: Action Range: Touch Components: V, S, M (a small square of silk) Duration: 24 hours With a touch, you place an illusion on a willing creature or an object that isn’t being worn or carried. A creature gains the Mask effect below, and an object gains the False Aura effect below. The effect lasts for the duration. If you cast the spell on the same target every day for 30 days, the illusion lasts until dispelled. Mask (Creature). Choose a creature type other than the target’s actual type. Spells and other magical effects treat the target as if it were a creature of the chosen type. False Aura (Object). You change the way the target appears to spells and magical effects that detect magical auras, such as Detect Magic . You can make a nonmagical object appear magical, make a magic item appear nonmagical, or change the object’s aura so that it appears to belong to a school of magic you choose.",2,Illusion,V S M,,Action,,
Otiluke's Freezing Sphere,"Level 6 Evocation (Sorcerer, Wizard) Casting Time: Action Range: 300 feet Components: V, S, M (a miniature crystal sphere) Duration: Instantaneous A frigid globe streaks from you to a point of your choice within range, where it explodes in a 60-foot-radius Sphere . Each creature in that area makes a Constitution saving throw , taking 10d6 Cold damage on failed save or half as much damage on a successful one. If the globe strikes a body of water, it freezes the water to a depth of 6 inches over an area 30 feet square. This ice lasts for 1 minute. Creatures that were swimming on the surface of frozen water are trapped in the ice and have the Restrained condition. A trapped creature can take an action to make a Strength (Athletics) check against your spell save DC to break free. You can refrain from firing the globe after completing the spell’s casting. If you do so, a globe about the size of a sling bullet, cool to the touch, appears in your hand. At any time, you or a creature you give the globe to can throw the globe (to a range of 40 feet) or hurl it with a sling (to the sling’s normal range). It shatters on impact, with the same effect as a normal casting of the spell. You can also set the globe down without shattering it. After 1 minute, if the globe hasn’t already shattered, it explodes. Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 6.",6,Evocation,V S M,Cold,Action,300 ft (60 ft radius ○),
Otiluke's Resilient Sphere,"Level 4 Abjuration (Wizard) Casting Time: Action Range: 30 feet Components: V, S, M (a glass sphere) Duration: Concentration, up to 1 minute A shimmering sphere encloses a Large or smaller creature or object within range. An unwilling creature must succeed on a Dexterity saving throw or be enclosed for the duration. Nothing—not physical objects , energy, or other spell effects—can pass through the barrier, in or out, though a creature in the sphere can breathe there. The sphere is immune to all damage , and a creature or object inside can’t be damaged by attacks or effects originating from outside, nor can a creature inside the sphere damage anything outside it. The sphere is weightless and just large enough to contain the creature or object inside. An enclosed creature can take an action to push against the sphere’s walls and thus roll the sphere at up to half the creature’s Speed. Similarly, the globe can be picked up and moved by other creatures . A Disintegrate spell targeting the globe destroys it without harming anything inside.",4,Abjuration,V S M,,Action,,Dexterity
Otto's Irresistible Dance,"Level 6 Enchantment (Bard, Wizard) Casting Time: Action Range: 30 feet Components: V Duration: Concentration, up to 1 minute One creature that you can see within range must make a Wisdom saving throw . On a successful save, the target dances comically until the end of its next turn, during which it must spend all its movement to dance in place. On a failed save, the target has the Charmed condition for the duration. While Charmed , the target dances comically, must use all its movement to dance in place, and has Disadvantage on Dexterity saving throws and attack rolls, and other creatures have Advantage on attack rolls against it. On each of its turns, the target can take an action to collect itself and repeat the save , ending the spell on itself on a success.",6,Enchantment,V,,Action,,Wisdom
Pass without Trace,"Level 2 Abjuration (Druid, Ranger) Casting Time: Action Range: Self Components: V, S, M (ashes from burned mistletoe) Duration: Concentration, up to 1 hour You radiate a concealing aura in a 30-foot Emanation for the duration. While in the aura, you and each creature you choose have a +10 bonus to Dexterity (Stealth) checks and leave no tracks.",2,Abjuration,V S M,,Action,Self (30 ft ○),
Passwall,"Level 5 Transmutation (Wizard) Casting Time: Action Range: 30 feet Components: V, S, M (a pinch of sesame seeds) Duration: 1 hour A passage appears at a point that you can see on a wooden, plaster, or stone surface (such as a wall, ceiling, or floor) within range and lasts for the duration. You choose the opening’s dimensions: up to 5 feet wide, 8 feet tall, and 20 feet deep. The passage creates no instability in a structure surrounding it. When the opening disappears, any creatures or objects still in the passage created by the spell are safely ejected to an unoccupied space nearest to the surface on which you cast the spell.",5,Transmutation,V S M,,Action,,
Phantasmal Force,"Level 2 Illusion (Bard, Sorcerer, Wizard) Casting Time: Action Range: 60 feet Components: V, S, M (a bit of fleece) Duration: Concentration, up to 1 minute You attempt to craft an illusion in the mind of a creature you can see within range. The target makes an Intelligence saving throw . On a failed save , you create a phantasmal object , creature , or other phenomenon that is no larger than a 10-foot Cube and that is perceivable only to the target for the duration. The phantasm includes sound, temperature, and other stimuli. The target can take a Study action to examine the phantasm with an Intelligence (Investigation) check against your spell save DC. If the check succeeds, the target realizes that the phantasm is an illusion, and the spell ends. While affected by the spell, the target treats the phantasm as if it were real and rationalizes any illogical outcomes from interacting with it. For example, if the target steps through a phantasmal bridge and survives the fall, it believes the bridge exists and something else caused it to fall. An affected target can even take damage from the illusion if the phantasm represents a dangerous creature or hazard. On each of your turns, such a phantasm can deal 2d8 Psychic damage to the target if it is in the phantasm’s area or within 5 feet of the phantasm. The target perceives the damage as a type appropriate to the illusion.",2,Illusion,V S M,Psychic,Action,60 ft (10 ft □),Intelligence
Phantasmal Killer,"Level 4 Illusion (Bard, Wizard) Casting Time: Action Range: 120 feet Components: V, S Duration: Concentration, up to 1 minute You tap into the nightmares of a creature you can see within range and create an illusion of its deepest fears, visible only to that creature . The target makes a Wisdom saving throw . On a failed save , the target takes 4d10 Psychic damage and has Disadvantage on ability checks and attack rolls for the duration. On a successful save , the target takes half as much damage , and the spell ends. For the duration, the target makes a Wisdom saving throw at the end of each of its turns. On a failed save , it takes the Psychic damage again. On a successful save , the spell ends. Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 4.",4,Illusion,V S,Psychic,Action,,Wisdom
Phantom Steed,"Level 3 Illusion (Wizard) Casting Time: 1 minute or Ritual Range: 30 feet Components: V, S Duration: 1 hour A Large , quasi-real, horselike creature appears on the ground in an unoccupied space of your choice within range. You decide the creature’s appearance, and it is equipped with a saddle, bit, and bridle. Any of the equipment created by the spell vanishes in a puff of smoke if it is carried more than 10 feet away from the steed. For the duration, you or a creature you choose can ride the steed. The steed uses the Riding Horse stat block, except it has a Speed of 100 feet and can travel 13 miles in an hour. When the spell ends, the steed gradually fades, giving the rider 1 minute to dismount. The spell ends early if the steed takes any damage .",3,Illusion,V S,,1 minute or Ritual,,
Planar Ally,"Level 6 Conjuration (Cleric) Casting Time: 10 minutes Range: 60 feet Components: V, S Duration: Instantaneous You beseech an otherworldly entity for aid. The being must be known to you: a god, a demon prince, or some other being of cosmic power. That entity sends a Celestial , an Elemental , or a Fiend loyal to it to aid you, making the creature appear in an unoccupied space within range. If you know a specific creature’s name, you can speak that name when you cast this spell to request that creature , though you might get a different creature anyway (DM’s choice). When the creature appears, it is under no compulsion to behave a particular way. You can ask it to perform a service in exchange for payment, but it isn’t obliged to do so. The requested task could range from simple (fly us across the chasm, or help us fight a battle) to complex (spy on our enemies, or protect us during our foray into the dungeon). You must be able to communicate with the creature to bargain for its services. Payment can take a variety of forms. A Celestial might require a sizable donation of gold or magic items to an allied temple, while a Fiend might demand a living sacrifice or a gift of treasure. Some creatures might exchange their service for a quest undertaken by you. A task that can be measured in minutes requires a payment worth 100 GP per minute. A task measured in hours requires 1,000 GP per hour. And a task measured in days (up to 10 days) requires 10,000 GP per day. The DM can adjust these payments based on the circumstances under which you cast the spell. If the task is aligned with the creature’s ethos, the payment might be halved or even waived. Nonhazardous tasks typically require only half the suggested payment, while especially dangerous tasks might require a greater gift. Creatures rarely accept tasks that seem suicidal. After the creature completes the task, or when the agreed-upon duration of service expires, the creature returns to its home plane after reporting back to you if possible. If you are unable to agree on a price for the creature’s service, the creature immediately returns to its home plane.",6,Conjuration,V S,,10 minutes,,
Planar Binding,"Level 5 Abjuration (Bard, Cleric, Druid, Warlock, Wizard) Casting Time: 1 hour Range: 60 feet Components: V, S, M (a jewel worth 1,000+ GP, which the spell consumes) Duration: 24 hours You attempt to bind a Celestial , an Elemental , a Fey , or a Fiend to your service. The creature must be within range for the entire casting of the spell. (Typically, the creature is first summoned into the center of the inverted version of the Magic Circle spell to trap it while this spell is cast.) At the completion of the casting, the target must succeed on a Charisma saving throw or be bound to serve you for the duration. If the creature was summoned or created by another spell, that spell’s duration is extended to match the duration of this spell. A bound creature must follow your commands to the best of its ability. You might command the creature to accompany you on an adventure, to guard a location, or to deliver a message. If the creature is Hostile , it strives to twist your commands to achieve its own objectives. If the creature carries out your commands completely before the spell ends, it travels to you to report this fact if you are on the same plane of existence. If you are on a different plane, it returns to the place where you bound it and remains there until the spell ends. Using a Higher-Level Spell Slot. The duration increases with a spell slot of level 6 (10 days), 7 (30 days), 8 (180 days), and 9 (366 days).",5,Abjuration,V S M,,1 hour,,
Plane Shift,"Level 7 Conjuration (Cleric, Druid, Sorcerer, Warlock, Wizard) Casting Time: Action Range: Touch Components: V, S, M (a forked, metal rod worth 250+ GP and attuned to a plane of existence) Duration: Instantaneous You and up to eight willing creatures who link hands in a circle are transported to a different plane of existence. You can specify a target destination in general terms, such as the City of Brass on the Elemental Plane of Fire or the palace of Dispater on the second level of the Nine Hells, and you appear in or near that destination, as determined by the DM. Alternatively, if you know the sigil sequence of a teleportation circle on another plane of existence, this spell can take you to that circle. If the teleportation circle is too small to hold all the creatures you transported, they appear in the closest unoccupied spaces next to the circle.",7,Conjuration,V S M,,Action,,
Plant Growth,"Level 3 Transmutation (Bard, Druid, Ranger) Casting Time: Action (Overgrowth) or 8 hours (Enrichment) Range: 150 feet Components: V, S Duration: Instantaneous This spell channels vitality into plants. The casting time you use determines whether the spell has the Overgrowth or the Enrichment effect below. Overgrowth. Choose a point within range. All normal plants in a 100-foot-radius Sphere centered on that point become thick and overgrown. A creature moving through that area must spend 4 feet of movement for every 1 foot it moves. You can exclude one or more areas of any size within the spell’s area from being affected. Enrichment. All plants in a half-mile radius centered on a point within range become enriched for 365 days. The plants yield twice the normal amount of food when harvested. They can benefit from only one Plant Growth per year.",3,Transmutation,V S,,Action (Overgrowth) or 8 hours (Enrichment),150 ft (100 ft radius ○),
Poison Spray,"Conjuration Cantrip Casting Time : 1 action Rang e: 10 feet Components: V, S Duration : Instantaneous You extend your hand toward a creature you can see within range and project a puff of noxious gas from your palm. The creature must succeed on a Constitution saving throw or take 1d12 poison damage. ⁠This spell’s damage increases by 1d12 when you reach 5th level (2d12), 11th level (3d12), and 17th level (4d12).",0,Conjuration,V S,Poison,1 action,,Constitution
Polymorph,"Level 4 Transmutation (Bard, Druid, Sorcerer, Wizard) Casting Time: Action Range: 60 feet Components: V, S, M (a caterpillar cocoon) Duration: Concentration, up to 1 hour You attempt to transform a creature that you can see within range into a Beast . The target must succeed on a Wisdom saving throw or shape-shift into a Beast form for the duration. That form can be any Beast you choose that has a Challenge Rating equal to or less than the target’s (or the target’s level if it doesn’t have a Challenge Rating ). The target’s game statistics are replaced by the stat block of the chosen Beast , but the target retains its alignment, personality, creature type, Hit Points , and Hit Point Dice . See appendix B for a sample of Beast stat blocks. The target gains a number of Temporary Hit Points equal to the Hit Points of the Beast form. The spell ends early on the target if it has no Temporary Hit Points left. The target is limited in the actions it can perform by the anatomy of its new form, and it can’t speak or cast spells. The target’s gear melds into the new form. The creature can’t use or otherwise benefit from any of that equipment.",4,Transmutation,V S M,,Action,,Wisdom
Power Word Fortify,"Level 7 Enchantment (Bard, Cleric) Casting Time: Action Range: 60 feet Component: V Duration: Instantaneous You fortify up to six creatures you can see within range. The spell bestows 120 Temporary Hit Points , which you divide among the spell’s recipients.",7,Enchantment,V,,Action,,
Power Word Heal,"Level 9 Enchantment (Bard, Cleric) Casting Time: Action Range: 60 feet Component: V Duration: Instantaneous A wave of healing energy washes over one creature you can see within range. The target regains all its Hit Points . If the creature has the Charmed , Frightened , Paralyzed , Poisoned , or Stunned condition, the condition ends. If the creature has the Prone condition, it can use its Reaction to stand up.",9,Enchantment,V,,Action,,
Power Word Kill,"Level 9 Enchantment (Bard, Sorcerer, Warlock, Wizard) Casting Time: Action Range: 60 feet Component: V Duration: Instantaneous You compel one creature you can see within range to die. If the target has 100 Hit Points or fewer, it dies. Otherwise, it takes 12d12 Psychic damage .",9,Enchantment,V,Psychic,Action,,
Power Word Pain,"7th-Level Enchantment Casting Time : 1 action Rang e: 60 feet Components: V Duration : Instantaneous You speak a word of power that causes waves of intense pain to assail one creature you can see within range. If the target has 100 hit points or fewer, it is subject to crippling pain. Otherwise, the spell has no effect on it. A target is also unaffected if it is immune to being charmed. While the target is affected by crippling pain, any speed it has can be no higher than 10 feet. The target also has disadvantage on attack rolls, ability checks, and saving throws, other than Constitution saving throws. Finally, if the target tries to cast a spell, it must first succeed on a Constitution saving throw, or the casting fails and the spell is wasted. A target suffering this pain can make a Constitution saving throw at the end of each of its turns. On a successful save, the pain ends.",7,Enchantment,V,,1 action,60 feet,
Power Word Stun,"Level 8 Enchantment (Bard, Sorcerer, Warlock, Wizard) Casting Time: Action Range: 60 feet Components: V Duration: Instantaneous You overwhelm the mind of one creature you can see within range. If the target has 150 Hit Points or fewer, it has the Stunned condition. Otherwise, its Speed is 0 until the start of your next turn. The Stunned target makes a Constitution saving throw at the end of each of its turns, ending the condition on itself on a success.",8,Enchantment,V,,Action,,Constitution
Prayer of Healing,"Level 2 Abjuration (Cleric, Paladin) Casting Time: 10 minutes Range: 30 feet Components: V Duration: Instantaneous Up to five creatures of your choice who remain within range for the spell’s entire casting gain the benefits of a Short Rest and also regain 2d8 Hit Points . A creature can’t be affected by this spell again until that creature finishes a Long Rest . Using a Higher-Level Spell Slot. The healing increases by 1d8 for each spell slot level above 2.",2,Abjuration,V,,10 minutes,,
Prestidigitation,"Transmutation Cantrip Casting Time : 1 action Rang e: 10 feet Components: V, S Duration : Up to 1 hour This spell is a minor magical trick that novice spellcasters use for practice. You create one of the following magical effects within range: You create an instantaneous, harmless sensory effect, such as a shower of sparks, a puff of wind, faint musical notes, or an odd odor. You instantaneously light or snuff out a c⁠andle, a torch, or a small campfire. You instantaneously clean or soil an object no larger than 1 cubic foot. You chill, warm, or flavor up to 1 cubic foot of nonliving material for 1 hour. You make a color, a small mark, or a s⁠ymbol appear on an object or a surface for 1 hour. You create a nonmagical trinket or an illusory image that can fit in your hand and that lasts until the end of your next turn. If you cast this spell multiple times, you can have up to three of its non-instantaneous effects active at a time, and you can dismiss such an effect as an action.",0,Transmutation,V S,,1 action,10 feet,
Primal Savagery,"Transmutation Cantrip Casting Time : 1 action Rang e: Self Components: S Duration : Instantaneous You channel primal magic to cause your teeth or fingernails to sharpen, ready to deliver a corrosive attack. Make a melee spell attack against one creature within 5 feet of you. On a hit, the target takes 1d10 acid damage. After you make the attack, your teeth or fingernails return to normal. The spell’s damage increases by 1d10 when you reach 5th level (2d10), 11th level (3d10), and 17th level (4d10).",0,Transmutation,S,Acid,1 action,Self,
Primordial Ward,"6th-Level Abjuration Casting Time : 1 action Rang e: Self Components: V, S Duration : Concentration, up to 1 minute You have resistance to acid, cold, fire, lightning, and thunder damage for the spell’s duration. When you take damage of one of those types, you can use your reaction to gain immunity to that type of damage, including against the triggering damage. If you do so, the resistances end, and you have the immunity until the end of your next turn, at which time the spell ends.",6,Abjuration,"V, S",,1 action,Self,
Prismatic Spray,"Level 7 Evocation (Bard, Sorcerer, Wizard) Casting Time: Action Range: Self Components: V, S Duration: Instantaneous Eight rays of light flash from you in a 60-foot Cone . Each creature in the Cone makes a Dexterity saving throw . For each target, roll 1d8 to determine which color ray affects it, consulting the Prismatic Rays table. Prismatic Rays 1d8 Ray 1 Red. Failed Save: 12d6 Fire damage . Successful Save: Half as much damage . 2 Orange. Failed Save: 12d6 Acid damage . Successful Save: Half as much damage . 3 Yellow. Failed Save: 12d6 Lightning damage . Successful Save: Half as much damage . 4 Green. Failed Save: 12d6 Poison damage . Successful Save: Half as much damage . 5 Blue. Failed Save: 12d6 Cold damage . Successful Save: Half as much damage . 6 Indigo. Failed Save: The target has the Restrained condition and makes a Constitution saving throw at the end of each of its turns. If it successfully saves three times, the condition ends. If it fails three times, it has the Petrified condition until it is freed by an effect like the Greater Restoration spell. The successes and failures needn’t be consecutive; keep track of both until the target collects three of a kind. 7 Violet. Failed Save: The target has the Blinded condition and makes a Wisdom saving throw at the start of your next turn. On a successful save, the condition ends. On a failed save, the condition ends, and the creature teleports to another plane of existence (DM’s choice). 8 Special. The target is struck by two rays. Roll twice, rerolling any 8.",7,Evocation,V S,Fire,Action,Self (60 ft ▽),Dexterity
Prismatic Wall,"Level 9 Abjuration (Bard, Wizard) Casting Time: Action Range: 60 feet Components: V, S Duration: 10 minutes A shimmering, multicolored plane of light forms a vertical opaque wall—up to 90 feet long, 30 feet high, and 1 inch thick—centered on a point within range. Alternatively, you shape the wall into a globe up to 30 feet in diameter centered on a point within range. The wall lasts for the duration. If you position the wall in a space occupied by a creature, the spell ends instantly without effect. The wall sheds Bright Light within 100 feet and Dim Light for an additional 100 feet. You and creatures you designate when you cast the spell can pass through and be near the wall without harm. If another creature that can see the wall moves within 20 feet of it or starts its turn there, the creature must succeed on a Constitution saving throw or have the Blinded condition for 1 minute. The wall consists of seven layers, each with a different color. When a creature reaches into or passes through the wall, it does so one layer at a time through all the layers. Each layer forces the creature to make a Dexterity saving throw or be affected by that layer’s properties as described in the Prismatic Layers table. The wall, which has AC 10, can be destroyed one layer at a time, in order from red to violet, by means specific to each layer. If a layer is destroyed, it is gone for the duration. Antimagic Field has no effect on the wall, and Dispel Magic can affect only the violet layer. Prismatic Layers Order Effects 1 Red. Failed Save: 12d6 Fire damage . Successful Save: Half as much damage. Additional Effects: Nonmagical ranged attacks can’t pass through this layer, which is destroyed if it takes at least 25 Cold damage . 2 Orange. Failed Save: 12d6 Acid damage . Successful Save: Half as much damage. Additional Effects: Magical ranged attacks can’t pass through this layer, which is destroyed by a strong wind (such as the one created by Gust of Wind ). 3 Yellow. Failed Save: 12d6 Lightning damage . Successful Save: Half as much damage . Additional Effects: The layer is destroyed if it takes at least 60 Force damage . 4 Green. Failed Save: 12d6 Poison damage . Successful Save: Half as much damage . Additional Effects: A Passwall spell, or another spell of equal or greater level that can open a portal on a solid surface, destroys this layer. 5 Blue. Failed Save: 12d6 Cold damage . Successful Save: Half as much damage . Additional Effects: The layer is destroyed if it takes at least 25 Fire damage . 6 Indigo. Failed Save: The target has the Restrained condition and makes a Constitution saving throw at the end of each of its turns. If it successfully saves three times, the condition ends. If it fails three times, it has the Petrified condition until it is freed by an effect like the Greater Restoration spell. The successes and failures needn’t be consecutive; keep track of both until the target collects three of a kind. Additional Effects: Spells can’t be cast through this layer, which is destroyed by Bright Light shed by the Daylight spell. 7 Violet. Failed Save: The target has the Blinded condition and makes a Wisdom saving throw at the start of your next turn. On a successful save , the condition ends. On a failed save, the condition ends, and the creature teleports to another plane of existence (DM’s choice). Additional Effects: This layer is destroyed by Dispel Magic .",9,Abjuration,V S,Fire,Action,"60 ft (90 feet long, 30 feet high* ○)",Constitution
Produce Flame,"Conjuration Cantrip (Druid) Casting Time: Bonus Action Range: Self Components: V, S Duration: 10 minutes A flickering flame appears in your hand and remains there for the duration. While there, the flame emits no heat and ignites nothing, and it sheds Bright Light in a 20-foot radius and Dim Light for an additional 20 feet. The spell ends if you cast it again. Until the spell ends, you can take a Magic action to hurl fire at a creature or an object within 60 feet of you. Make a ranged spell attack . On a hit, the target takes 1d8 Fire damage . Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8).",0,Conjuration,V S,Fire,Bonus Action,,
Programmed Illusion,"Level 6 Illusion (Bard, Wizard) Casting Time: Action Range: 120 feet Components: V, S, M (jade dust worth 25+ GP) Duration: Until dispelled You create an illusion of an object , a creature , or some other visible phenomenon within range that activates when a specific trigger occurs. The illusion is imperceptible until then. It must be no larger than a 30-foot Cube , and you decide when you cast the spell how the illusion behaves and what sounds it makes. This scripted performance can last up to 5 minutes. When the trigger you specify occurs, the illusion springs into existence and performs in the manner you described. Once the illusion finishes performing, it disappears and remains dormant for 10 minutes, after which the illusion can be activated again. The trigger can be as general or as detailed as you like, though it must be based on visual or audible phenomena that occur within 30 feet of the area. For example, you could create an illusion of yourself to appear and warn off others who attempt to open a trapped door. Physical interaction with the image reveals it to be illusory, since things can pass through it. A creature that takes the Study action to examine the image can determine that it is an illusion with a successful Intelligence (Investigation) check against your spell save DC. If a creature discerns the illusion for what it is, the creature can see through the image, and any noise it makes sounds hollow to the creature .",6,Illusion,V S M,,Action,120 ft (30 ft □),
Project Image,"Level 7 Illusion (Bard, Wizard) Casting Time: Action Range: 500 miles Components: V, S, M (a statuette of yourself worth 5+ GP) Duration: Concentration, up to 1 day You create an illusory copy of yourself that lasts for the duration. The copy can appear at any location within range that you have seen before, regardless of intervening obstacles. The illusion looks and sounds like you, but it is intangible. If the illusion takes any damage , it disappears, and the spell ends. You can see through the illusion’s eyes and hear through its ears as if you were in its space. As a Magic action , you can move it up to 60 feet and make it gesture, speak, and behave in whatever way you choose. It mimics your mannerisms perfectly. Physical interaction with the image reveals it to be illusory, since things can pass through it. A creature that takes the Study action to examine the image can determine that it is an illusion with a successful Intelligence (Investigation) check against your spell save DC. If a creature discerns the illusion for what it is, the creature can see through the image, and any noise it makes sounds hollow to the creature .",7,Illusion,V S M,,Action,,
Protection from Energy,"Level 3 Abjuration (Cleric, Druid, Ranger, Sorcerer, Wizard) Casting Time: Action Range: Touch Components: V, S Duration: Concentration, up to 1 hour For the duration, the willing creature you touch has Resistance to one damage type of your choice: Acid , Cold , Fire , Lightning , or Thunder .",3,Abjuration,V S,,Action,,
Protection from Evil and Good,"1st-Level Abjuration Casting Time: 1 action Range: Touch Components: V, S, M (holy water or powdered silver and iron, which the spell consumes) Duration: Concentration, up to 10 minutes Until the spell ends, one willing creature you touch is protected against certain types of creatures: Aberrations, Celestials, Elementals, Fey, Fiends, and Undead. The protection grants several benefits. Creatures of those types have disadvantage on attack rolls against the target. The target also can’t be charmed, frightened, or possessed by them. If the target is already charmed, frightened, or possessed by such a creature, the target has advantage on any new saving throw against the relevant effect.",1,Abjuration,"V, S, M",,1 action,Touch,
Protection from Poison,"Level 2 Abjuration (Cleric, Druid, Paladin, Ranger) Casting Time: Action Range: Touch Components: V, S Duration: 1 hour You touch a creature and end the Poisoned condition on it. For the duration, the target has Advantage on saving throws to avoid or end the Poisoned condition, and it has Resistance to Poison damage .",2,Abjuration,V S,,Action,,
Psychic Scream,"9th-Level Enchantment Casting Time : 1 action Rang e: 9 0 feet Components: S Duration : Instantaneous You unleash the power of your mind to blast the intellect of up to ten creatures of your choice that you can see within range. Creatures that have an Intelligence score of 2 or lower are unaffected. Each target must make an Intelligence saving throw. On a failed save, a target takes 14d6 psychic damage and is stunned. On a successful save, a target takes half as much damage and isn’t stunned. If a target is killed by this damage, its head explodes, assuming it has one. A stunned target can make an Intelligence saving throw at the end of each of its turns. On a successful save, the stunning effect ends.",9,Enchantment,S,Psychic,1 action,90 feet,Intelligence
