name,description,Type,Rarity,Attunement,Properties
Mighty Servant of Leuk-o,"Mighty Servant of Leuk-o Wondrous item, artifact (requires attunement ) See the Mighty Servant of Leuk-o monster. Named for the warlord who infamously employed it, the Mighty Servant of Leuk-o is a fantastically powerful, 10-foot-tall machine that turns into an animate construct when piloted. Crafted of a gleaming black alloy of unknown origin, the servant is often described as a combination of a disproportioned dwarf and an oversized beetle. The servant contains enough space for 1 ton of cargo and a crew compartment within, from which up to two Medium creatures can control it—and potentially execute a spree of unstoppable destruction. Tales of the servant's origins involve more conjecture than fact, often referring to otherworldly beings, the mysterious Barrier Peaks in Oerth, and the supposedly related device known as the Machine of Lum the Mad . The best details on the device's origins and operation can be found in the Mind of Metal , a tome of artificer's secrets that connects the device to the traditions of the lost Olman people, and which was written by Lum the Mad's several times over granddaughter, Lum the Maestro, while she reconstructed the long disassembled Mighty Servant of Leuk-o . Dangerous Attunement. Two creatures can be attuned to the servant at a time. If a third creature tries to attune to it, nothing happens. The servant's controls are accessed by a hatch in its upper back, which is easily opened while there are no creatures attuned to the artifact. Attuning to the artifact requires two hours, which can be undertaken as part of a long rest, during which time you must be inside the servant, interacting with its controls. While crew members are attuning themselves, any creature or structure outside and within 50 feet of the servant has a 25 percent chance of being accidentally targeted by one of its Destructive Fist attacks once during the attunement. This process must be undergone every time a creature attunes itself to the artifact. Controlling the Servant. While any creatures are attuned to the artifact, attuned creatures can open the hatch as easily as any other door. Other creatures can open the hatch as an action with a successful DC 25 Dexterity check using thieves' tools. A knock spell cast on the hatch also opens it until the start of the caster's next turn. A creature can enter or exit through the hatch by spending 10 feet of movement. Those inside the servant have total cover from effects originating outside it. The controls within it allow creatures to see outside without obstruction. While you are inside the servant, you can command it by using the controls. During your turn (for either attuned creature), you can command it in the following ways: Open or close the hatch (no action required, once per turn) Move the servant up to its speed (no action required) As an action, you can command the servant to take one of the actions in its stat block or some other action. When a creature provokes an opportunity attack from the servant, you can use your reaction to command the servant to make one Destructive Fist attack against that creature. While there are no attuned creatures inside the servant, it is an inert object. Ghost in the Machine. Upon his death, the soul of the mighty warlord Leuk-o was drawn into the artifact and has become its animating force. The servant has been known to attack or move of its own accord, particularly if doing so will cause destruction. Once every 24 hours, the servant, at the DM's discretion, takes one action while uncrewed. If the servant loses half of its hit points or more, each creature attuned to it must succeed on a DC 20 Wisdom saving throw or be charmed for 24 hours. While charmed in this way, the creature goes on a destructive spree, seeking to destroy structures and attack any unattuned creatures within sight of the servant, starting with those threatening the artifact—preferably using the servant, if possible. Self-Destruct. By inputting a specific series of lever pulls and button presses, the servant's two crew members can cause it to explode. The self-destruct code is not revealed to crew members when they attune to the artifact. If the code is discovered (the DM determines how), it requires two attuned crew members to be inside the servant and spend their actions on 3 consecutive rounds performing the command. Should the crew members begin the process of entering the code, though, the servant uses its Ghost in the Machine property and turns the crew members against each other. If the crew members successfully implement the code, at the end of the third round, the servant explodes. Every creature in a 100-foot-radius sphere centered on the servant must make a DC 25 Dexterity saving throw. On a failed save, a creature takes 87 (25d6) force damage, 87 (25d6) lightning damage, and 87 (25d6) thunder damage. On a successful save, a creature takes half as much damage. Objects and structures in the area take triple damage. Creatures inside the servant are slain instantly and leave behind no remains. This does not destroy the servant permanently. Rather, 2d6 days later, its parts—left arm, left leg, right arm, right leg, lower torso, and upper torso—drop from the sky in random places within 1,000 miles of the explosion. If brought within 5 feet of one another, the pieces reconnect and reform the servant. Destroying the Servant. The servant can be destroyed in two ways. After it has self-destructed, its disconnected pieces can be melted down in one of the forge-temples of its ancient Olman creators. Alternatively, if the servant strikes the Machine of Lum the Mad , both artifacts explode in an eruption that is three times the size and three times the damage as the servant's self-destruct property.",Wondrous item,artifact,requires attunement,
Military Saddle,"Weight: 30 lb. Cost: 20 GP A saddle comes with a bit, a bridle, reins, and any other equipment needed to use the saddle. A Military Saddle gives Advantage on any ability check you make to remain mounted.",Adventuring Gear,None,,
Mimir,"Mimir Wondrous item, rare (requires attunement) This skull-shaped device is filled with knowledge. The device weighs 5 pounds and is covered with subtle etchings of planar sigils. As a bonus action, you can toss the device into the air, whereupon it floats at a distance of 1d3 feet from you and you can access its properties. While the mimir is floating, a creature other than you can use an action to grasp or net the device, either by making a successful unarmed strike against AC 22 or a successful DC 22 Dexterity (Acrobatics) check. You can use a bonus action to seize and stow the device. The device has AC 22, 25 hit points, immunity to poison and psychic damage, and resistance to all other damage. It is considered to be an object that is being worn while it is floating near you. Esoteric Knowledge. While the device is floating, you can use an action to cast legend lore from the device. The device speaks the revealed lore aloud. Once this property has been used, it can’t be used again until the next dawn. Planar Knowledge. The device knows basic, useful information about the planes of existence. While the device is floating, it verbally answers questions you or anyone you designate poses to it about that topic. It knows the information about the planes in the Dungeon Master’s Guide , as well as basic information about the gate-towns of the Outlands.",Wondrous item,rare,requires attunement,
Mind Blade,"Mind Blade Weapon (any sword), rare (requires attunement by a specific individual) Mind flayers can turn any nonmagical sword into a mind blade. Only one creature can attune to it: either a specific mind flayer or one of its thralls. In the hands of any other creature, the mind blade functions as a normal sword of its kind. In the hands of its intended wielder, the mind blade is a magic weapon that deals an extra 2d6 psychic damage to any target it hits.",Weapon (Any Sword),,,
Mind Carapace Armor,"Mind Carapace Armor Armor (any heavy armor), uncommon (requires attunement by a specific individual) Any nonmagical suit of heavy armor can be turned by mind flayers into mind carapace armor. Only one creature can attune to it: either a specific mind flayer or one of its thralls. While worn by any other creature, the mind carapace armor functions as normal armor of its kind. To its intended wearer, the armor grants advantage on Intelligence, Wisdom, and Charisma saving throws and makes its wearer immune to the frightened condition.",Heavy Armor,,,
Mind Lash,"Mind Lash Weapon (whip), rare (requires attunement by a mind flayer) In the hands of a creature other than a mind flayer, a mind lash functions as a normal whip. In the hands of an illithid, this magic weapon strips away a creature’s will to survive as it also strips away flesh, dealing an extra 2d4 psychic damage to any target it hits. Any creature that takes psychic damage from the mind lash must also succeed on a DC 15 Wisdom saving throw or have disadvantage on Intelligence, Wisdom, and Charisma saving throws for 1 minute. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Reach. This weapon adds 5 feet to your reach when you attack with it, as well as when determining your reach for opportunity attacks with it. Damage: 1d4 Damage Type: Slashing Properties: Finesse, Reach Weight: 3",Melee Weapon,,,
Mindblasting Cap,"Mindblasting Cap Wondrous Item, Very Rare (Requires Attunement) This soft, violet cap bears stitching in the pattern of folds on a brain. As a bonus action while wearing the cap, you can project psychic energy in a 60-foot cone. Each creature in that area must make a DC 15 Intelligence saving throw. On a failed save, a creature takes 5d8 psychic damage and has the stunned condition for 1 minute. On a successful save, the creature takes half as much damage only. At the end of each of its turns, a stunned creature can repeat the saving throw, ending the stunned condition on itself on a success. Once this bonus action is used, it can’t be used again until the next dawn.",Wondrous Item,very rare,requires attunement,
Mindguard Crown,"Mindguard Crown Wondrous Item, Very Rare (Requires Attunement) While you wear this adamantine crown, you have advantage on Intelligence, Wisdom, and Charisma saving throws, and you have resistance to psychic damage.",Wondrous Item,very rare,requires attunement,
Miner's Pick,Miner's Pick Adventuring gear Weight: 10,Adventuring Gear,Standard,,
Mirror,Adventuring Gear Weight: 1/2 lb. Cost: 5 GP A handheld steel Mirror is useful for personal cosmetics but also for peeking around corners and reflecting light as a signal.,Adventuring Gear,None,,
Mirror of Life Trapping,"Mirror of Life Trapping Wondrous item, very rare When this 4-foot-tall mirror is viewed indirectly, its surface shows faint images of creatures. The mirror weighs 50 pounds, and it has AC 11, 10 hit points, and vulnerability to bludgeoning damage. It shatters and is destroyed when reduced to 0 hit points. If the mirror is hanging on a vertical surface and you are within 5 feet of it, you can use an action to speak its command word and activate it. It remains activated until you use an action to speak the command word again. Any creature other than you that sees its reflection in the activated mirror while within 30 feet of it must succeed on a DC 15 Charisma saving throw or be trapped, along with anything it is wearing or carrying, in one of the mirror’s twelve extradimensional cells. This saving throw is made with advantage if the creature knows the mirror’s nature, and constructs succeed on the saving throw automatically. An extradimensional cell is an infinite expanse filled with thick fog that reduces visibility to 10 feet. Creatures trapped in the mirror’s cells don’t age, and they don’t need to eat, drink, or sleep. A creature trapped within a cell can escape using magic that permits planar travel. Otherwise, the creature is confined to the cell until freed. If the mirror traps a creature but its twelve extradimensional cells are already occupied, the mirror frees one trapped creature at random to accommodate the new prisoner. A freed creature appears in an unoccupied space within sight of the mirror but facing away from it. If the mirror is shattered, all creatures it contains are freed and appear in unoccupied spaces near it. While within 5 feet of the mirror, you can use an action to speak the name of one creature trapped in it or call out a particular cell by number. The creature named or contained in the named cell appears as an image on the mirror’s surface. You and the creature can then communicate normally. In a similar way, you can use an action to speak a second command word and free one creature trapped in the mirror. The freed creature appears, along with its possessions, in the unoccupied space nearest to the mirror and facing away from it.",Wondrous item,very rare,,
Mirror of Reflected Pasts,"Mirror Of Reflected Past Wondrous Item, Very Rare (Requires Attunement) This mirror of elven design allows those who stare into it to reflect on positive memories. The 3-foot-tall mirror weighs 25 pounds, and it has AC 11, 10 hit points, and vulnerability to bludgeoning damage. It shatters and is destroyed if reduced to 0 hit points. While holding the mirror upright, you can use an action to speak its command word and activate it. While activated, the mirror hovers in the air, and it can be destroyed but not moved. It remains activated until you use an action to speak the command word again or your attunement to the mirror ends, at which point the mirror harmlessly floats to the ground. Once the mirror has been deactivated, it can’t be activated again until the next dawn. If a non-Construct creature other than you sees its reflection in the activated mirror while within 30 feet of it, that creature must succeed on a DC 15 Wisdom saving throw or become paralyzed until the mirror is deactivated or until that creature can no longer see the mirror. A creature paralyzed by the mirror can repeat the saving throw at the end of each of its turns, ending the effect on a success. If a creature’s saving throw is successful or the effect ends for it, the creature is immune to this mirror’s effect for the next 24 hours. While paralyzed by the mirror, the creature sees events from their past reflected in the mirror’s glass. These memories aren’t real, but rather idealized versions of those occurrences. Nearby observers can glimpse flashes of these memories if looking indirectly at the mirror. Weight: 25",Wondrous Item,Very Rare,Requires Attunement,
Mirror of the Past,"Mirror of the Past Wondrous item, rare The holder of this platinum hand mirror can learn some-thing about the history of a specific object or creature by taking an action to gaze into the mirror and think of the target. Instead of the holder's reflection, the mirror presents scenes from the target's past. Information conveyed is accurate, but it is random and cryptic, and presented in no particular order. Once it is activated, the mirror gives its information for 1 minute or less, then returns to normal. It can't be used again until the next dawn. ( The Hidden Shrine of Tomoachan )",Wondrous item,rare,,
Mistral Mantle,"Mistral Mantle Wondrous item, very rare (requires attunement) This thick, fur-lined cloak has the ice rune stitched on the hem in silvery blue thread. Frigid wind swirls around the cloak, regardless of the weather. While wearing this cloak, you have resistance to cold damage. Additionally, when you move within 5 feet of a creature, you can cause the cloak’s cold wind to buffet the creature. The creature must succeed on a DC 14 Dexterity saving throw or take 1d6 cold damage and have the prone condition. A creature can be affected by the mantle only once during a turn. Invoking the Rune. As an action, you can invoke the mantle’s rune to cast the sleet storm spell (save DC 14) with it. When you use the mantle to cast the spell, the area of the spell isn’t difficult terrain for you, and you can see through the storm, ignoring the normal penalties of a heavily obscured area. Once the rune has been invoked, it can’t be invoked again until the next dawn.",Wondrous Item,very rare,requires attunement,
Mithral Armor,"Mithral Armor Armor (medium or heavy, but not hide), uncommon Mithral is a light, flexible metal. A mithral chain shirt or breastplate can be worn under normal clothes. If the armor normally imposes disadvantage on Dexterity (Stealth) checks or has a Strength requirement, the mithral version of the armor doesn’t.",Armor,uncommon,,
Mithral Armor (Template),"Armor (Any Medium or Heavy, Except Hide Armor), Uncommon Mithral is a light, flexible metal. Armor made of this substance can be worn under normal clothes. If the armor normally imposes Disadvantage on Dexterity (Stealth) checks or has a Strength requirement, the mithral version of the armor doesn’t. Roll20 Note: This item is not supported for drag and drop.",Armor,No,,
Mithral Breastplate,"Armor (Breastplate), Uncommon Mithral is a light, flexible metal. Armor made of this substance can be worn under normal clothes. If the armor normally imposes Disadvantage on Dexterity (Stealth) checks or has a Strength requirement, the mithral version of the armor doesn’t.",Medium Armor,No,,
Mithral Chain Mail,"Armor (Chain Mail), Uncommon Mithral is a light, flexible metal. Armor made of this substance can be worn under normal clothes. If the armor normally imposes Disadvantage on Dexterity (Stealth) checks or has a Strength requirement, the mithral version of the armor doesn’t.",Heavy Armor,No,,
Mithral Chain Shirt,"Armor (Chain Shirt), Uncommon Mithral is a light, flexible metal. Armor made of this substance can be worn under normal clothes. If the armor normally imposes Disadvantage on Dexterity (Stealth) checks or has a Strength requirement, the mithral version of the armor doesn’t.",Medium Armor,No,,
Mithral Half Plate Armor,"Armor (Half Plate Armor), Uncommon Mithral is a light, flexible metal. Armor made of this substance can be worn under normal clothes. If the armor normally imposes Disadvantage on Dexterity (Stealth) checks or has a Strength requirement, the mithral version of the armor doesn’t.",Medium Armor,No,,
Mithral Plate Armor,"Armor (Plate Armor), Uncommon Mithral is a light, flexible metal. Armor made of this substance can be worn under normal clothes. If the armor normally imposes Disadvantage on Dexterity (Stealth) checks or has a Strength requirement, the mithral version of the armor doesn’t.",Heavy Armor,No,,
Mithral Ring Mail,"Armor (Ring Mail), Uncommon Mithral is a light, flexible metal. Armor made of this substance can be worn under normal clothes. If the armor normally imposes Disadvantage on Dexterity (Stealth) checks or has a Strength requirement, the mithral version of the armor doesn’t.",Heavy Armor,No,,
Mithral Scale Mail,"Armor (Scale Mail), Uncommon Mithral is a light, flexible metal. Armor made of this substance can be worn under normal clothes. If the armor normally imposes Disadvantage on Dexterity (Stealth) checks or has a Strength requirement, the mithral version of the armor doesn’t.",Medium Armor,No,,
Mithral Splint Armor,"Armor (Splint Armor), Uncommon Mithral is a light, flexible metal. Armor made of this substance can be worn under normal clothes. If the armor normally imposes Disadvantage on Dexterity (Stealth) checks or has a Strength requirement, the mithral version of the armor doesn’t.",Heavy Armor,No,,
Mizzium Apparatus,"Mizzium Apparatus Wondrous item, uncommon (requires attunement by a sorcerer, warlock, or wizard) Innovation is a dangerous pursuit, at least the way the mages of the Izzet League engage in it. As protection against the risk of an experiment going awry, they have developed a device to help channel and control their magic. This apparatus is a collection of leather straps, flexible tubing, glass cylinders, and plates, bracers, and fittings made from a magic-infused metal alloy called mizzium , all assembled into a harness. The item weighs 8 pounds. While you are wearing the mizzium apparatus , you can use it as an arcane focus. In addition, you can attempt to cast a spell that you do not know or have prepared. The spell you choose must be on your class’s spell list and of a level for which you have a spell slot, and you must provide the spell’s components. You expend a spell slot to cast the spell as normal, but before resolving it you must make an Intelligence (Arcana) check. The DC is 10 + twice the level of the spell slot you expend to cast the spell. On a successful check, you cast the spell as normal, using your spell save DC and spellcasting ability modifier. On a failed check, you cast a different spell from the one you intended. Randomly determine the spell you cast by rolling on the table for the level of the spell slot you expended. If the slot is 6th level or higher, roll on the table for 5th-level spells. If you try to cast a cantrip you don’t know, the DC for the Intelligence (Arcana) check is 10, and on a failed check, there is no effect. 1st-Level Spells d6 Spell 1 burning hands 2 chaos bolt 3 color spray 4 faerie fire 5 fog cloud 6 thunderwave 2nd-Level Spells d6 Spell 1 blur 2 gust of wind 3 heat metal 4 Melf's acid arrow 5 scorching ray 6 shatter 3rd-Level Spells d6 Spell 1 fear 2 feign death 3 fireball 4 gaseous form 5 sleet storm 6 stinking cloud 4th-Level Spells d4 Spell 1 confusion 2 conjure minor elementals 3 Evard's black tentacles 4 ice storm 5th-Level Spells d4 Spell 1 animate objects 2 cloudkill 3 cone of cold 4 flame strike",Adventuring Gear,uncommon,,
Mizzium Breastplate,"Mizzium Breastplate Armor (medium), rare This suit of armor is reinforced with a magically enhanced metal alloy called mizzium , which is made in Izzet foundries. While you’re wearing the armor, any critical hit against you becomes a normal hit. In addition, when you are subjected to a magical effect that allows you to make a Strength or Constitution saving throw to take only half damage, you instead take no damage if you succeed on the saving throw. Breastplate. This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered. AC: 14 + Dex modifier (max 2) Weight: 20",Medium Armor,rare,,
Mizzium Chain Mail,"Mizzium Chain Mail Armor (heavy), rare This suit of armor is reinforced with a magically enhanced metal alloy called mizzium , which is made in Izzet foundries. While you’re wearing the armor, any critical hit against you becomes a normal hit. In addition, when you are subjected to a magical effect that allows you to make a Strength or Constitution saving throw to take only half damage, you instead take no damage if you succeed on the saving throw. Chain Mail. Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets. Stealth. The wearer has disadvantage on Dexterity (Stealth) checks. AC: 16 Stealth: Disadvantage Weight: 55 Minimum Strength: 13",Heavy Armor,rare,,Stealth Disadvantage
Mizzium Chain Shirt,"Mizzium Chain Shirt Armor (medium), rare This suit of armor is reinforced with a magically enhanced metal alloy called mizzium , which is made in Izzet foundries. While you’re wearing the armor, any critical hit against you becomes a normal hit. In addition, when you are subjected to a magical effect that allows you to make a Strength or Constitution saving throw to take only half damage, you instead take no damage if you succeed on the saving throw. Chain Shirt. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. AC: 13 + Dex modifier (max 2) Weight: 20",Medium Armor,rare,,
Mizzium Half Plate,"Mizzium Half Plate Armor (medium), rare This suit of armor is reinforced with a magically enhanced metal alloy called mizzium , which is made in Izzet foundries. While you’re wearing the armor, any critical hit against you becomes a normal hit. In addition, when you are subjected to a magical effect that allows you to make a Strength or Constitution saving throw to take only half damage, you instead take no damage if you succeed on the saving throw. Half Plate. Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps. Stealth. The wearer has disadvantage on Dexterity (Stealth) checks. AC : 15 + Dex modifier (max 2) Stealth : Disadvantage Weight : 40",Medium Armor,rare,,Stealth Disadvantage
Mizzium Mortar,"Mizzium Mortar Wondrous item, rare This short tube, about 2 feet long and 6 inches in diameter, is made from mizzium , a magically enhanced metal alloy forged by the Izzet League . The end that’s pointed toward a target is open, and a glowing ball of molten metal can be seen at the other end as long as the mortar has at least 1 charge remaining. The mortar has 4 charges for the following properties. It regains 1d4 expended charges daily at dawn. Molten Spray. You can expend 1 charge as an action to loose a 30-foot cone of molten mizzium. Each creature in the area must make a DC 15 Dexterity saving throw, taking 5d4 fire damage on a failed save, or half as much damage on a successful one. Mizzium Bombard. You can expend 3 charges as an action to launch a hail of molten projectiles in a 20-foot-radius, 40-foot-high cylinder centered on a point you can see within 60 feet of you. Each creature in the area must make a DC 15 Dexterity saving throw. A creature takes 5d8 fire damage on a failed save, or half as much damage on a successful one.",Adventuring Gear,rare,,
Mizzium Plate,"Mizzium Plate Armor (heavy), rare This suit of armor is reinforced with a magically enhanced metal alloy called mizzium , which is made in Izzet foundries. While you’re wearing the armor, any critical hit against you becomes a normal hit. In addition, when you are subjected to a magical effect that allows you to make a Strength or Constitution saving throw to take only half damage, you instead take no damage if you succeed on the saving throw. Plate Armor. Plate consists of shaped, interlocking metal plates to cover the entire body. A suit of plate includes gauntlets, heavy leather boots, a visored helmet, and thick layers of padding underneath the armor. Buckles and straps distribute the weight over the body. Stealth. The wearer has disadvantage on Dexterity (Stealth) checks. AC: 18 Stealth: Disadvantage Weight: 65",Heavy Armor,rare,,Stealth Disadvantage
Mizzium Ring Mail,"Mizzium Ring Mail Armor (heavy), rare This suit of armor is reinforced with a magically enhanced metal alloy called mizzium , which is made in Izzet foundries. While you’re wearing the armor, any critical hit against you becomes a normal hit. In addition, when you are subjected to a magical effect that allows you to make a Strength or Constitution saving throw to take only half damage, you instead take no damage if you succeed on the saving throw. Ring Mail. This armor is leather armor with heavy rings sewn into it. The rings help reinforce the armor against blows from swords and axes. Ring mail is inferior to chain mail, and it's usually worn only by those who can't afford better armor. Stealth. The wearer has disadvantage on Dexterity (Stealth) checks. AC : 14 Stealth : Disadvantage Weight : 40",Heavy Armor,rare,,Stealth Disadvantage
Mizzium Scale Mail,"Mizzium Scale Mail Armor (medium), rare This suit of armor is reinforced with a magically enhanced metal alloy called mizzium , which is made in Izzet foundries. While you’re wearing the armor, any critical hit against you becomes a normal hit. In addition, when you are subjected to a magical effect that allows you to make a Strength or Constitution saving throw to take only half damage, you instead take no damage if you succeed on the saving throw. Scale Mail. This armor consists of a coat and leggings (and perhaps a separate skirt) of leather covered with overlapping pieces of metal, much like the scales of a fish. The suit includes gauntlets. Stealth. The wearer has disadvantage on Dexterity (Stealth) checks. AC : 14 + Dex modifier (max 2) Stealth : Disadvantage Weight : 45",Medium Armor,rare,,Stealth Disadvantage
Mizzium Splint,"Mizzium Splint Armor (heavy), rare This suit of armor is reinforced with a magically enhanced metal alloy called mizzium , which is made in Izzet foundries. While you’re wearing the armor, any critical hit against you becomes a normal hit. In addition, when you are subjected to a magical effect that allows you to make a Strength or Constitution saving throw to take only half damage, you instead take no damage if you succeed on the saving throw. Splint. This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints. Stealth. The wearer has disadvantage on Dexterity (Stealth) checks. AC : 17 Stealth : Disadvantage Weight : 60",Heavy Armor,rare,,Stealth Disadvantage
Molten Bronze Skin,"Molten Bronze Skin Armor (breastplate, half plate, or plate), rare (requires attunement) This magical armor appears as a jug of molten bronze. When you attune to it, the bronze adheres and contours to your skin. The armor can be worn under normal clothes, but it doesn't impede bodily functions. Once you put it on, it can't be removed unless you choose to do so. While wearing the armor, you have resistance to fire damage. The armor also doesn't impose disadvantage on Dexterity (Stealth) checks.",Armor,rare,,
Moodmark Paint,"Moodmark Paint Wondrous item, common This thick, black paint is stored in a small jar, containing enough paint to apply moodmarks to one creature. The paint is dabbed on the face in spots or markings that often resemble the eyes of insects or spiders. Applying the paint in this way takes 1 minute. For the next 8 hours, the marks change to reflect your mental state. A creature that can see you and makes a successful DC 10 Wisdom (Insight) check can discern whether you are happy, sad, angry, disgusted, surprised, or afraid, as well as the main source of that emotion. For example, you might communicate fear caused by a monster you just saw around the corner, grief at the loss of a friend, or happiness derived from pride in your performance in combat. A dark elf has advantage on this check.",Adventuring Gear,common,,
Moon Sickle +1,"Moon Sickle +1 Weapon (sickle), uncommon (requires attunement by a druid or ranger ) This silver-bladed sickle glimmers softly with moonlight. While holding this magic weapon, you gain a +1 bonus to attack and damage rolls made with it, and you gain a bonus to spell attack rolls and the saving throw DCs of your druid and ranger spells. In addition, you can use the sickle as a spellcasting focus for your druid and ranger spells. When you cast a spell that restores hit points, you can roll a d4 and add the number rolled to the amount of hit points restored, provided you are holding the sickle. Damage: 1d4+1 Damage Type: Slashing Properties: Light Weight: 2",Weapon (sickle),uncommon,requires attunement by a druid or ranger,Light
Moon Sickle +2,"Moon Sickle +2 Weapon (sickle), rare (requires attunement by a druid or ranger ) This silver-bladed sickle glimmers softly with moonlight. While holding this magic weapon, you gain a +2 bonus to attack and damage rolls made with it, and you gain a bonus to spell attack rolls and the saving throw DCs of your druid and ranger spells. In addition, you can use the sickle as a spellcasting focus for your druid and ranger spells. When you cast a spell that restores hit points, you can roll a d4 and add the number rolled to the amount of hit points restored, provided you are holding the sickle. Damage: 1d4+2 Damage Type: Slashing Properties: Light Weight: 2",Weapon (sickle),rare,requires attunement by a druid or ranger,Light
Moon Sickle +3,"Moon Sickle +3 Melee weapon (simple, sickle), very rare (requires attunement by a druid or ranger ) This silver-bladed sickle glimmers softly with moonlight. While holding this magic weapon, you gain a +3 bonus to attack and damage rolls made with it, and you gain a bonus to spell attack rolls and the saving throw DCs of your druid and ranger spells. In addition, you can use the sickle as a spellcasting focus for your druid and ranger spells. When you cast a spell that restores hit points, you can roll a d4 and add the number rolled to the amount of hit points restored, provided you are holding the sickle. Damage: 1d4+3 Damage Type: Slashing Properties: Light Weight: 2",Weapon (sickle),very rare,requires attunement by a druid or ranger,Light
Moon-Touched Glaive,"Weapon (Glaive), Common In Darkness, the unsheathed blade of this weapon sheds moonlight, creating Bright Light in a 15-foot radius and Dim Light for an additional 15 feet.",martial,No,,"Reach, Two-Handed"
Moon-Touched Greatsword,"Moon-Touched Greatsword Weapon (martial, sword), common In darkness, the unsheathed blade of this sword sheds moonlight, creating bright light in a 15-foot radius and dim light for an additional 15 feet.",Melee Weapon,common,,"Heavy, Two-Handed"
Moon-Touched Longsword,"Moon-Touched Longsword Weapon (martial, sword), common In darkness, the unsheathed blade of this sword sheds moonlight, creating bright light in a 15-foot radius and dim light for an additional 15 feet.",Melee Weapon,common,,Versatile
Moon-Touched Rapier,"Moon-Touched Rapier Weapon (martial, sword), common In darkness, the unsheathed blade of this sword sheds moonlight, creating bright light in a 15-foot radius and dim light for an additional 15 feet.",Melee Weapon,common,,Finesse
Moon-Touched Scimitar,"Moon-Touched Scimitar Weapon (martial, sword), common In darkness, the unsheathed blade of this sword sheds moonlight, creating bright light in a 15-foot radius and dim light for an additional 15 feet.",Melee Weapon,common,,"Finesse, Light"
Moon-Touched Shortsword,"Moon-Touched Shortsword Weapon (martial, sword), common In darkness, the unsheathed blade of this sword sheds moonlight, creating bright light in a 15-foot radius and dim light for an additional 15 feet.",Melee Weapon,common,,"Finesse, Light"
Moon-Touched Sword,"Moon-Touched Sword Weapon (any sword), common In darkness, the unsheathed blade of this sword sheds moonlight, creating bright light in a 15-foot radius and dim light for an additional 15 feet.",Equipment,Common,,
Moon-Touched Sword (Template),"Weapon (Glaive, Greatsword, Longsword, Rapier, Scimitar, or Shortsword), Common In Darkness, the unsheathed blade of this weapon sheds moonlight, creating Bright Light in a 15-foot radius and Dim Light for an additional 15 feet. Roll20 Note: This item is not supported for drag and drop.",Weapon,No,,
