name,type,subtype,rarity,cost,weight,description,attunement
Infused Chain Mail Armor of Thunder Resistance,Armor,Heavy Armor,Common (Requires Attunement),50 - 100 gp,55," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to thunder damage while you wear this armor. Chain Mail Notes Of all the armor categories, heavy armor offers the best protection. These suits of armor cover the entire body and are designed to stop a wide range of attacks. Only proficient warriors can manage their weight and bulk. Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets. ",TRUE
"Infused Chain Mail Armor, +1",Armor,,Common,50 - 100 gp,55," Description Artificer Infusion Item: A suit of armor A creature gains a +1 bonus to Armor Class while wearing or wielding this infused item. Chain Mail Notes Of all the armor categories, heavy armor offers the best protection. These suits of armor cover the entire body and are designed to stop a wide range of attacks. Only proficient warriors can manage their weight and bulk. Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets. ",FALSE
"Infused Chain Mail Armor, +2",Armor,,Common,50 - 100 gp,55," Description Artificer Infusion Item: A suit of armor A creature gains a +2 bonus to Armor Class while wearing or wielding this infused item. Chain Mail Notes Of all the armor categories, heavy armor offers the best protection. These suits of armor cover the entire body and are designed to stop a wide range of attacks. Only proficient warriors can manage their weight and bulk. Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets. ",FALSE
Infused Chain Mail of Arcane Propulsion,Armor,,Common (Requires Attunement),50 - 100 gp,55," Description Artificer Infusion Prerequisite: 14th-level artificer Item: A suit of armor The wearer of this armor gains these benefits: The wearer's walking speed increases by 5 feet. The armor includes gauntlets, each of which is a magic melee weapon that can be wielded only when the hand is holding nothing. The wearer is proficient with the gauntlets, and each one deals 1d8 force damage on a hit and has the thrown property, with a normal range of 20 feet and a long range of 60 feet. When thrown, the gauntlet detaches and flies at the attack's target, then immediately returns to the wearer and reattaches. The armor can't be removed against the wearer's will. If the wearer is missing any limbs, the armor replaces those limbs-hands, arms, feet, legs, or similar appendages. The replacements function identically to the body parts they replace. Chain Mail Notes Of all the armor categories, heavy armor offers the best protection. These suits of armor cover the entire body and are designed to stop a wide range of attacks. Only proficient warriors can manage their weight and bulk. Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets. ",TRUE
Infused Chain Mail of Magical Strength,Armor,,Common (Requires Attunement),50 - 100 gp,55," Description Artificer Infusion Item: A suit of armor This armor has 6 charges. The wearer can expend the armor's charges in the following ways: When the wearer makes a Strength check or a Strength saving throw, it can expend 1 charge to add a bonus to the roll equal to its Intelli- gence modifier. If the creature would be knocked prone, it can use its reaction to expend 1 charge to avoid being knocked prone. The armor regains 1d6 expended charges daily at dawn. Chain Mail Notes Of all the armor categories, heavy armor offers the best protection. These suits of armor cover the entire body and are designed to stop a wide range of attacks. Only proficient warriors can manage their weight and bulk. Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets. ",TRUE
Infused Chain Shirt Armor of Acid Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,20," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to acid damage while you wear this armor. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",TRUE
Infused Chain Shirt Armor of Cold Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,20," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to cold damage while you wear this armor. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",TRUE
Infused Chain Shirt Armor of Fire Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,20," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to fire damage while you wear this armor. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",TRUE
Infused Chain Shirt Armor of Force Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,20," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to force damage while you wear this armor. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",TRUE
Infused Chain Shirt Armor of Lightning Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,20," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to lightning damage while you wear this armor. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",TRUE
Infused Chain Shirt Armor of Necrotic Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,20," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to necrotic damage while you wear this armor. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",TRUE
Infused Chain Shirt Armor of Poison Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,20," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to Poison damage while you wear this armor. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",TRUE
Infused Chain Shirt Armor of Psychic Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,20," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to psychic damage while you wear this armor. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",TRUE
Infused Chain Shirt Armor of Radiant Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,20," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to radiant damage while you wear this armor. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",TRUE
Infused Chain Shirt Armor of Thunder Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,20," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to thunder damage while you wear this armor. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",TRUE
"Infused Chain Shirt Armor, +1",Armor,,Common,50 - 100 gp,20," Description Artificer Infusion Item: A suit of armor A creature gains a +1 bonus to Armor Class while wearing or wielding this infused item. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",FALSE
"Infused Chain Shirt Armor, +2",Armor,,Common,50 - 100 gp,20," Description Artificer Infusion Item: A suit of armor A creature gains a +2 bonus to Armor Class while wearing or wielding this infused item. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",FALSE
Infused Chain Shirt of Arcane Propulsion,Armor,,Common (Requires Attunement),50 - 100 gp,20," Description Artificer Infusion Prerequisite: 14th-level artificer Item: A suit of armor The wearer of this armor gains these benefits: The wearer's walking speed increases by 5 feet. The armor includes gauntlets, each of which is a magic melee weapon that can be wielded only when the hand is holding nothing. The wearer is proficient with the gauntlets, and each one deals 1d8 force damage on a hit and has the thrown property, with a normal range of 20 feet and a long range of 60 feet. When thrown, the gauntlet detaches and flies at the attack's target, then immediately returns to the wearer and reattaches. The armor can't be removed against the wearer's will. If the wearer is missing any limbs, the armor replaces those limbs-hands, arms, feet, legs, or similar appendages. The replacements function identically to the body parts they replace. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",TRUE
Infused Chain Shirt of Magical Strength,Armor,,Common (Requires Attunement),50 - 100 gp,20," Description Artificer Infusion Item: A suit of armor This armor has 6 charges. The wearer can expend the armor's charges in the following ways: When the wearer makes a Strength check or a Strength saving throw, it can expend 1 charge to add a bonus to the roll equal to its Intelli- gence modifier. If the creature would be knocked prone, it can use its reaction to expend 1 charge to avoid being knocked prone. The armor regains 1d6 expended charges daily at dawn. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",TRUE
"Infused Club, +1",Weapon,Simple Melee Weapons,Common,50 - 100 gp,2, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +1 bonus to attack and damage rolls made with it. ,FALSE
"Infused Club, +2",Weapon,Simple Melee Weapons,Common,50 - 100 gp,2, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +2 bonus to attack and damage rolls made with it. ,FALSE
"Infused Crossbow, Hand, +1",Weapon,Martial Ranged Weapons,Common,50 - 100 gp,3, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +1 bonus to attack and damage rolls made with it. ,FALSE
"Infused Crossbow, Hand, +2",Weapon,Martial Ranged Weapons,Common,50 - 100 gp,3, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +2 bonus to attack and damage rolls made with it. ,FALSE
"Infused Crossbow, Heavy, +1",Weapon,Martial Ranged Weapons,Common,50 - 100 gp,18, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +1 bonus to attack and damage rolls made with it. ,FALSE
"Infused Crossbow, Heavy, +2",Weapon,Martial Ranged Weapons,Common,50 - 100 gp,18, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +2 bonus to attack and damage rolls made with it. ,FALSE
"Infused Crossbow, Light, +1",Weapon,Simple Ranged Weapons,Common,50 - 100 gp,5, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +1 bonus to attack and damage rolls made with it. ,FALSE
"Infused Crossbow, Light, +2",Weapon,Simple Ranged Weapons,Common,50 - 100 gp,5, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +2 bonus to attack and damage rolls made with it. ,FALSE
"Infused Dagger, +1",Weapon,Simple Melee Weapons,Common,50 - 100 gp,1, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +1 bonus to attack and damage rolls made with it. ,FALSE
"Infused Dagger, +2",Weapon,Simple Melee Weapons,Common,50 - 100 gp,1, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +2 bonus to attack and damage rolls made with it. ,FALSE
"Infused Dart, +1",Weapon,Simple Ranged Weapons,Common,50 - 100 gp,0.25, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +1 bonus to attack and damage rolls made with it. ,FALSE
"Infused Dart, +2",Weapon,Simple Ranged Weapons,Common,50 - 100 gp,0.25, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +2 bonus to attack and damage rolls made with it. ,FALSE
"Infused Flail, +1",Weapon,Martial Weapons,Common,50 - 100 gp,2, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +1 bonus to attack and damage rolls made with it. ,FALSE
"Infused Flail, +2",Weapon,Martial Weapons,Common,50 - 100 gp,2, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +2 bonus to attack and damage rolls made with it. ,FALSE
"Infused Glaive, +1",Weapon,Martial Weapons,Common,50 - 100 gp,6, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +1 bonus to attack and damage rolls made with it. ,FALSE
"Infused Glaive, +2",Weapon,Martial Weapons,Common,50 - 100 gp,6, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +2 bonus to attack and damage rolls made with it. ,FALSE
"Infused Greataxe, +1",Weapon,Martial Weapons,Common,50 - 100 gp,7, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +1 bonus to attack and damage rolls made with it. ,FALSE
"Infused Greataxe, +2",Weapon,Martial Weapons,Common,50 - 100 gp,7, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +2 bonus to attack and damage rolls made with it. ,FALSE
"Infused Greatclub, +1",Weapon,Simple Melee Weapons,Common,50 - 100 gp,10, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +1 bonus to attack and damage rolls made with it. ,FALSE
"Infused Greatclub, +2",Weapon,Simple Melee Weapons,Common,50 - 100 gp,10, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +2 bonus to attack and damage rolls made with it. ,FALSE
"Infused Greatsword, +1",Weapon,Martial Weapons,Common,50 - 100 gp,6, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +1 bonus to attack and damage rolls made with it. ,FALSE
"Infused Greatsword, +2",Weapon,Martial Weapons,Common,50 - 100 gp,6, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +2 bonus to attack and damage rolls made with it. ,FALSE
"Infused Halberd, +1",Weapon,Martial Weapons,Common,50 - 100 gp,6, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +1 bonus to attack and damage rolls made with it. ,FALSE
"Infused Halberd, +2",Weapon,Martial Weapons,Common,50 - 100 gp,6, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +2 bonus to attack and damage rolls made with it. ,FALSE
Infused Half Plate Armor of Acid Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,40," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to acid damage while you wear this armor. Half Plate Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps. ",TRUE
Infused Half Plate Armor of Cold Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,40," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to cold damage while you wear this armor. Half Plate Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps. ",TRUE
Infused Half Plate Armor of Fire Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,40," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to fire damage while you wear this armor. Half Plate Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps. ",TRUE
Infused Half Plate Armor of Force Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,40," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to force damage while you wear this armor. Half Plate Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps. ",TRUE
Infused Half Plate Armor of Lightning Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,40," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to lightning damage while you wear this armor. Half Plate Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps. ",TRUE
Infused Half Plate Armor of Necrotic Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,40," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to necrotic damage while you wear this armor. Half Plate Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps. ",TRUE
Infused Half Plate Armor of Poison Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,40," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to Poison damage while you wear this armor. Half Plate Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps. ",TRUE
Infused Half Plate Armor of Psychic Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,40," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to psychic damage while you wear this armor. Half Plate Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps. ",TRUE
Infused Half Plate Armor of Radiant Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,40," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to radiant damage while you wear this armor. Half Plate Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps. ",TRUE
Infused Half Plate Armor of Thunder Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,40," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to thunder damage while you wear this armor. Half Plate Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps. ",TRUE
"Infused Half Plate Armor, +1",Armor,,Common,50 - 100 gp,40," Description Artificer Infusion Item: A suit of armor A creature gains a +1 bonus to Armor Class while wearing or wielding this infused item. Half Plate Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps. ",FALSE
"Infused Half Plate Armor, +2",Armor,,Common,50 - 100 gp,40," Description Artificer Infusion Item: A suit of armor A creature gains a +2 bonus to Armor Class while wearing or wielding this infused item. Half Plate Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps. ",FALSE
Infused Half Plate of Arcane Propulsion,Armor,,Common (Requires Attunement),50 - 100 gp,40," Description Artificer Infusion Prerequisite: 14th-level artificer Item: A suit of armor The wearer of this armor gains these benefits: The wearer's walking speed increases by 5 feet. The armor includes gauntlets, each of which is a magic melee weapon that can be wielded only when the hand is holding nothing. The wearer is proficient with the gauntlets, and each one deals 1d8 force damage on a hit and has the thrown property, with a normal range of 20 feet and a long range of 60 feet. When thrown, the gauntlet detaches and flies at the attack's target, then immediately returns to the wearer and reattaches. The armor can't be removed against the wearer's will. If the wearer is missing any limbs, the armor replaces those limbs-hands, arms, feet, legs, or similar appendages. The replacements function identically to the body parts they replace. Half Plate Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps. ",TRUE
Infused Half Plate of Magical Strength,Armor,,Common (Requires Attunement),50 - 100 gp,40," Description Artificer Infusion Item: A suit of armor This armor has 6 charges. The wearer can expend the armor's charges in the following ways: When the wearer makes a Strength check or a Strength saving throw, it can expend 1 charge to add a bonus to the roll equal to its Intelli- gence modifier. If the creature would be knocked prone, it can use its reaction to expend 1 charge to avoid being knocked prone. The armor regains 1d6 expended charges daily at dawn. Half Plate Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps. ",TRUE
"Infused Handaxe, +1",Weapon,Simple Melee Weapons,Common,50 - 100 gp,2, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +1 bonus to attack and damage rolls made with it. ,FALSE
"Infused Handaxe, +2",Weapon,Simple Melee Weapons,Common,50 - 100 gp,2, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +2 bonus to attack and damage rolls made with it. ,FALSE
Infused Helm of Awareness,Wondrous Item,,Common (Requires Attunement),50 - 100 gp,1," Description Artificer Infusion Prerequisite: 10th-level artificer Item: A helmet While wearing this helmet, a creature has advantage on initiative rolls. In addition, the wearer can't be surprised, provided it isn't incapacitated. ",TRUE
Infused Hide Armor of Acid Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,12," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to acid damage while you wear this armor. Hide Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor. ",TRUE
Infused Hide Armor of Fire Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,12," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to fire damage while you wear this armor. Hide Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor. ",TRUE
Infused Hide Armor of Cold Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,12," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to cold damage while you wear this armor. Hide Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor. ",TRUE
Infused Hide Armor of Force Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,12," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to force damage while you wear this armor. Hide Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor. ",TRUE
Infused Hide Armor of Lightning Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,12," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to lightning damage while you wear this armor. Hide Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor. ",TRUE
Infused Hide Armor of Necrotic Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,12," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to necrotic damage while you wear this armor. Hide Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor. ",TRUE
Infused Hide Armor of Poison Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,12," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to Poison damage while you wear this armor. Hide Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor. ",TRUE
